epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2626,1.05171,2.51287,1.2433,0.34308,0.24656,0.31317,0.24329,0.6192,2.35048,0.93033,0.00041088,0.00041088,0.00041088
2,59.4282,1.08664,1.53081,1.27822,0.21752,0.51156,0.23174,0.16333,0.76587,2.3614,1.05264,0.000819354,0.000819354,0.000819354
3,85.0596,1.08399,1.40566,1.27807,0.39005,0.50569,0.41792,0.25791,1.32157,1.78994,1.46069,0.00121958,0.00121958,0.00121958
4,110.582,1.05803,1.3194,1.257,0.32509,0.54239,0.34275,0.24907,0.70719,1.39116,1.0214,0.00121287,0.00121287,0.00121287
5,136.016,1.03971,1.25402,1.25136,0.36682,0.53856,0.37844,0.28039,0.6211,0.93922,0.9751,0.0012005,0.0012005,0.0012005
6,161.668,1.03308,1.15308,1.24016,0.46417,0.42436,0.43086,0.30765,0.70273,0.65539,0.97641,0.00118812,0.00118812,0.00118812
7,189.341,1.00448,1.09576,1.22685,0.61787,0.50337,0.52555,0.38207,0.64843,0.72512,0.95829,0.00117575,0.00117575,0.00117575
8,217.303,1.0116,1.06609,1.22344,0.4193,0.64535,0.46394,0.3536,0.61662,1.19981,0.94136,0.00116337,0.00116337,0.00116337
9,245.177,0.9996,1.03633,1.21215,0.37168,0.58604,0.44949,0.33877,0.59223,1.048,0.94347,0.001151,0.001151,0.001151
10,272.161,0.9895,1.0125,1.20676,0.39852,0.64801,0.47596,0.37296,0.59326,0.93075,0.92794,0.00113863,0.00113863,0.00113863
11,299.53,0.98602,0.96884,1.19992,0.36034,0.68191,0.44441,0.33811,0.5688,1.79126,0.9242,0.00112625,0.00112625,0.00112625
12,326.525,0.97742,0.96938,1.21275,0.60348,0.60919,0.59681,0.4613,0.5641,0.61831,0.92248,0.00111388,0.00111388,0.00111388
13,355.806,0.97101,0.93481,1.20096,0.68161,0.61658,0.65174,0.49925,0.56137,0.51155,0.91972,0.0011015,0.0011015,0.0011015
14,385.304,0.96061,0.92103,1.18693,0.57503,0.66783,0.64812,0.49596,0.56461,0.51415,0.91824,0.00108913,0.00108913,0.00108913
15,414.517,0.96124,0.90905,1.18914,0.60626,0.58977,0.64905,0.48525,0.61711,0.52955,0.93074,0.00107675,0.00107675,0.00107675
16,442.447,0.94036,0.91061,1.18201,0.49257,0.65474,0.56148,0.42713,0.56198,0.54563,0.93088,0.00106437,0.00106437,0.00106437
17,468.152,0.94399,0.91876,1.18216,0.50976,0.64096,0.51403,0.38302,0.59435,0.84866,0.93547,0.001052,0.001052,0.001052
18,493.998,0.94295,0.87547,1.17996,0.66384,0.6024,0.65666,0.49192,0.55831,0.4617,0.91683,0.00103962,0.00103962,0.00103962
19,521.781,0.9492,0.87596,1.17872,0.65759,0.65376,0.70828,0.52316,0.59314,0.44018,0.91641,0.00102725,0.00102725,0.00102725
20,550.818,0.9224,0.82838,1.16513,0.61039,0.61661,0.6455,0.49232,0.5491,0.57044,0.91557,0.00101488,0.00101488,0.00101488
21,579.977,0.93623,0.83526,1.17023,0.67108,0.63167,0.62557,0.47711,0.53392,0.56796,0.90859,0.0010025,0.0010025,0.0010025
22,607.242,0.92902,0.85944,1.16607,0.51482,0.61266,0.57863,0.45174,0.55308,0.95416,0.91155,0.000990125,0.000990125,0.000990125
23,635.599,0.93008,0.82804,1.16584,0.62211,0.54326,0.62714,0.48176,0.55537,0.51118,0.90904,0.00097775,0.00097775,0.00097775
24,662.797,0.92717,0.82403,1.17168,0.66116,0.69581,0.72143,0.54902,0.56524,0.47196,0.91765,0.000965375,0.000965375,0.000965375
25,691.051,0.9218,0.80962,1.1641,0.71647,0.69292,0.73163,0.55928,0.60075,0.43003,0.92175,0.000953,0.000953,0.000953
26,719.211,0.92591,0.80871,1.16996,0.55453,0.62826,0.58232,0.44088,0.55067,0.78354,0.91843,0.000940625,0.000940625,0.000940625
27,747.042,0.92059,0.79629,1.16358,0.64353,0.72499,0.71634,0.53566,0.57222,0.48051,0.91659,0.00092825,0.00092825,0.00092825
28,772.438,0.9054,0.7676,1.15445,0.53286,0.66099,0.58522,0.45098,0.55293,0.78732,0.90903,0.000915875,0.000915875,0.000915875
29,797.826,0.89142,0.77933,1.15124,0.77081,0.6386,0.75682,0.57648,0.55749,0.42846,0.9154,0.0009035,0.0009035,0.0009035
30,824.742,0.88865,0.76179,1.14052,0.48054,0.67958,0.53894,0.42297,0.5413,0.78542,0.90259,0.000891125,0.000891125,0.000891125
31,850.688,0.89733,0.75749,1.1506,0.65333,0.68875,0.68056,0.52356,0.54292,0.5122,0.90168,0.00087875,0.00087875,0.00087875
32,876.367,0.88195,0.74593,1.14619,0.71977,0.6515,0.75716,0.58888,0.56639,0.39628,0.90749,0.000866375,0.000866375,0.000866375
33,902.119,0.88762,0.74123,1.15012,0.6114,0.59662,0.65059,0.49968,0.58593,0.64903,0.92063,0.000854,0.000854,0.000854
34,927.676,0.86394,0.73303,1.13318,0.59695,0.68981,0.56951,0.43701,0.51951,1.18221,0.90107,0.000841625,0.000841625,0.000841625
35,952.867,0.86343,0.72786,1.13533,0.60961,0.75677,0.70141,0.54144,0.5794,0.54704,0.91528,0.00082925,0.00082925,0.00082925
36,978.435,0.87767,0.72876,1.14507,0.61207,0.73662,0.69556,0.54975,0.54758,0.75707,0.89665,0.000816875,0.000816875,0.000816875
37,1003.89,0.85939,0.71317,1.12546,0.76202,0.64327,0.74844,0.58348,0.57651,0.41055,0.90908,0.0008045,0.0008045,0.0008045
38,1029.32,0.8601,0.7118,1.13073,0.803,0.70565,0.80174,0.62314,0.53678,0.37019,0.90034,0.000792125,0.000792125,0.000792125
39,1054.81,0.87175,0.70232,1.13839,0.70955,0.63936,0.72022,0.57285,0.55243,0.45524,0.89912,0.00077975,0.00077975,0.00077975
40,1083.46,0.86341,0.70171,1.12791,0.67097,0.6999,0.72064,0.57138,0.56077,0.52842,0.90951,0.000767375,0.000767375,0.000767375
41,1112.97,0.85476,0.69677,1.1325,0.48997,0.70103,0.59814,0.4804,0.53401,0.67675,0.90495,0.000755,0.000755,0.000755
42,1142.09,0.85572,0.68656,1.12832,0.73183,0.76373,0.82214,0.63812,0.5598,0.43615,0.90298,0.000742625,0.000742625,0.000742625
43,1170.91,0.85453,0.68452,1.12718,0.61402,0.74747,0.74768,0.58221,0.55627,0.51569,0.90533,0.00073025,0.00073025,0.00073025
44,1199.17,0.84453,0.67657,1.12758,0.65892,0.75817,0.73478,0.57194,0.52822,0.40116,0.90358,0.000717875,0.000717875,0.000717875
45,1226.72,0.84916,0.67143,1.12159,0.58002,0.76263,0.67159,0.5322,0.5198,0.75278,0.89644,0.0007055,0.0007055,0.0007055
46,1254.62,0.84739,0.67604,1.12367,0.81439,0.72096,0.79409,0.62841,0.52714,0.44176,0.89714,0.000693125,0.000693125,0.000693125
47,1282.11,0.82965,0.65084,1.11667,0.60644,0.8028,0.67112,0.5358,0.50818,0.61607,0.8971,0.00068075,0.00068075,0.00068075
48,1309.58,0.84017,0.6598,1.11601,0.66387,0.70358,0.75171,0.5918,0.57582,0.48958,0.90353,0.000668375,0.000668375,0.000668375
49,1336.3,0.83487,0.64656,1.11317,0.65234,0.71422,0.70939,0.56362,0.53169,0.5574,0.89577,0.000656,0.000656,0.000656
50,1363.09,0.83203,0.66241,1.11447,0.61344,0.73228,0.71532,0.57358,0.51842,0.51735,0.89067,0.000643625,0.000643625,0.000643625
51,1389.96,0.8242,0.64305,1.11595,0.62648,0.73615,0.71825,0.57319,0.5305,0.53717,0.89208,0.00063125,0.00063125,0.00063125
52,1417.68,0.82444,0.63113,1.11056,0.70241,0.78895,0.79323,0.63077,0.52513,0.47392,0.89125,0.000618875,0.000618875,0.000618875
53,1445.09,0.82683,0.6302,1.11279,0.76017,0.69937,0.79365,0.62882,0.52672,0.40212,0.8901,0.0006065,0.0006065,0.0006065
54,1472.62,0.80412,0.62807,1.104,0.66873,0.58645,0.71539,0.56646,0.55718,0.74723,0.89478,0.000594125,0.000594125,0.000594125
55,1499.97,0.82245,0.622,1.11021,0.62549,0.70681,0.67651,0.54531,0.5127,0.53747,0.88434,0.00058175,0.00058175,0.00058175
56,1527.43,0.81561,0.61669,1.10371,0.65961,0.78616,0.76621,0.6099,0.51389,0.51878,0.88337,0.000569375,0.000569375,0.000569375
57,1555.47,0.80818,0.60725,1.10035,0.75274,0.66498,0.76471,0.61584,0.50042,0.44683,0.88021,0.000557,0.000557,0.000557
58,1583.99,0.81276,0.60907,1.10424,0.70739,0.69956,0.72791,0.58455,0.5101,0.48501,0.8845,0.000544625,0.000544625,0.000544625
59,1612.01,0.80249,0.59712,1.10309,0.69517,0.70972,0.73613,0.58812,0.52894,0.50852,0.88248,0.00053225,0.00053225,0.00053225
60,1639.6,0.79322,0.59421,1.09832,0.6689,0.6733,0.68032,0.54652,0.52443,0.53478,0.88512,0.000519875,0.000519875,0.000519875
61,1666.8,0.80001,0.59148,1.0976,0.61053,0.71627,0.66087,0.53419,0.53233,0.60066,0.88818,0.0005075,0.0005075,0.0005075
62,1695.45,0.7926,0.5958,1.09117,0.57974,0.70304,0.61787,0.50343,0.5018,0.72647,0.88892,0.000495125,0.000495125,0.000495125
63,1723.85,0.78463,0.57402,1.09051,0.68345,0.75509,0.75744,0.61246,0.50729,0.40891,0.88312,0.00048275,0.00048275,0.00048275
64,1751.24,0.78784,0.58274,1.09012,0.58345,0.78568,0.62,0.50089,0.49978,0.62278,0.88158,0.000470375,0.000470375,0.000470375
65,1779.18,0.77786,0.57159,1.08538,0.66426,0.72824,0.69062,0.56256,0.49737,0.5009,0.88431,0.000458,0.000458,0.000458
